RECORDING_SESSION_LABEL,TRIAL_INDEX,CURRENT_FIX_DURATION,CURRENT_FIX_PUPIL,CURRENT_FIX_START,CURRENT_FIX_END,CURRENT_FIX_X,CURRENT_FIX_Y,EYE_USED,NEXT_SAC_DURATION,TRIAL_FIXATION_TOTAL,TRIAL_START_TIME,VIDEO_FRAME_INDEX_START,VIDEO_NAME_START,IP_START_TIME,IP_END_TIME,__duration__1,audio,image
Sundar,1,228,422,23288,23512,431.5,536.9,RIGHT,28,216,10521986,696,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,212,430,23544,23752,365.1,564,RIGHT,24,216,10521986,704,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,476,431,23780,24252,409.1,569.4,RIGHT,24,216,10521986,711,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,824,451,24280,25100,363,561.4,RIGHT,28,216,10521986,726,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,216,455,25132,25344,341.8,440.3,RIGHT,36,216,10521986,752,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,260,451,25384,25640,367.5,576.8,RIGHT,32,216,10521986,759,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,172,444,25676,25844,461.3,588.8,RIGHT,28,216,10521986,768,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,156,435,25876,26028,528.1,569.9,RIGHT,52,216,10521986,774,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,724,431,26084,26804,438.8,262.3,RIGHT,40,216,10521986,780,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,292,437,26848,27136,447.6,538.3,RIGHT,52,216,10521986,803,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,132,425,27192,27320,366.7,239.9,RIGHT,20,216,10521986,813,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,212,414,27344,27552,377.3,175,RIGHT,48,216,10521986,818,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
Sundar,1,420,434,27604,28020,403.1,587.8,RIGHT,56,216,10521986,826,HandS.mp4,10521986,10593103,71000,HandSX.wav,HandS.mp4
